Book Title,Author / Translator,Abstract about Book,Category,Keywords,pISBN,eISBN,
Majales Al Nour,Mohammed Aieash Mutlak Ibrahim Abdulla Al-Ansari Mohamed Abubakr A Al-Musleh Waleed Al-husainy,"Through its practical, educational and innovative approach, this book brings closer the Holy Qur’an to people’s lives and concerns, helping them to interact with emerging issues in every sphere of their lives through a balanced style mixing simplicity with sophistication. It adds value to the Arab Islamic library, aligning with the needs of youth and intellectuals. The book includes 300 “Majles”, dealing each with a section of the verses of the Holy Qur’an and concluding with explanations that facilitate the understanding of words contained therein.", Religon ,,978-9927-139-02-4,978-9927-139-02-4,
Non-verbal communication in the Qatari culture,Montasir Fayez Faris Al Hamad,"""This book is a guide for gestures and signs used in the Qatari culture. It is a documentation of the special cultural features that distinguish the Qatari culture, some of which are shared with other cultures and customs. The book highlights various features of the Qatari garments at different occasions and the gestures in “majales” and communities. It sheds light on how Qataris express their feelings and emotions, how they describe things and represent conditions through movements. This is also referenced by proverbs that appear in such contexts. This pioneering work is distinguished in the field of non-verbal and semiotics communication, as it could be instrumental in developing a code of gestures and signs related to all aspects of daily life in the contemporary Qatari culture, as well as keeping track of some rare gestures. """, Culture ,,978-9927-139-01-7,978-9927-139-18-5,
Television news report,Fayez Shaheen,"""News report is one of the most important forms of news presentation on television newscasts because of its ability to tackle multiple topics, starting from political, economic, social, and even athletic issues. This book provides a detailed discussion of the microelements of news reporting and analyzes its texts, images, and the relationship between them and its structural elements. It refers to the relationship between the introduction of the report and its audio excerpts, and the nature of its photographic materials in addition to its artistic elements such as photography and lighting. The book also indicates, in addition to other topics, the methods used to link the news report to other forms of news presentation in television newscasts, which include the differences between a news report and the “constructive” report, ending with developing innovative templates for preparing the news report along various topics.""", Media ,,978-9927-139-05-5,978-9927-139-19-2,
The Eloquence of Quranic Miracles and the Limits of Interpretation,Alaa Abdelmonem Ibrahim Amer,"Is the narration able to perform aesthetically in the absence of the “narrator”? Can writings, which claim to emerge from history and its facts, independently produce their anxious and insurmountable indication of proof without the “narrator’s” authority? Can analytical approaches that seek to explore the meaning of the text not imply against the attempts of neglect, marginalization or transcendence of the “narrator”? Is there a possibility to understand the function of the narrative requirements and their textual checks, without realizing the relationships and interactions that they establish with the “narrator? Such questions might be provoked in a discussion between readers and old narrative texts. Complete and incomplete answers are provoked with it as well, making it difficult not to have a “negation” as the main result. “Negation” results from the awareness accumulated by the narrative theory; that awareness of the narrative material is an indirect one. It is provided by a technical mediator between the recipient and the narrative world. The latter is not presented in a neutral way, but rather through a perspective that controls the nature of the relationships between its components.", literature ,,978-9927-139-04-8,978-9927-139-20-8,
The Arab media and public opinion industry during the Arab Spring revolutions,Abdel Salam Razzak,"""There are many skeptical readings about the causes and consequences of the Arab Spring revolutions, and many are drawn from conspiracies, which do not necessarily contribute to understanding the Arab Spring. The events that some Arab countries have witnessed since 2011 and still find their manifestations in Sudan, Tunisia and other countries, confirm that Arabs are living in a moment of historical articulation and unprecedented societal dynamism. Representing the emergence of a new political generation that embraces new ideas and confides on political media and social media tools, this generation manages to break the wall of fear and spread the seeds of revolution and change. The interaction between politics and media in the Arab world has resulted in a customary provocation of Arab political mentality. The latter has resided in tyranny and submission since the beginning of the last century. It is certain that the manifestations and mechanisms of conflict between revolution and counter-revolution must lead to change, even if no one has the foresight of its nature and function.""", Politics ,,978-9927-139-03-1,978-9927-139-21-5,
Project management and factors of success,"Abdullah Kaid Naji Al-Swidi
 Ahmed Abdelhady Ahmed Mehrez Asmaa Al-Hosam","This book is a qualitative addition to the Arab library on the subject of project management, which is taught in most Arab universities. It discusses issues in a sequential manner with a focus on practical aspects. It also presents case studies of various topics at the end of each chapter, which makes it different from other books available in the Arab Library. This work also focuses on consolidating concepts related to various aspects of project management, as they are topics related to monitoring project scheduling, management techniques, and costs. In order to facilitate the handling of these topics, the book has provided illustrations and flow charts of operations as necessary. It also devotes a large part to discussing the basic factors of project success, which enhances the reader’s ability to look at the topic in a comprehensive manner, while giving special attention to technical details related to project management.", Business and Economy ,,978-9927-139-00-0,978-9927-139-22-2,"Abdullah Kaid Naji Al-Swidi
 Ahmed Abdelhady Ahmed Mehrez Asmaa Al-Hosam"
DNA paternity testing and disclosure of its incidental results: New Fiqhi Perspectives,Ayman Saleh,"This book is a model of Fiqh (jurisprudence) writing, in which the Faqih (jurist) utilizes the principles, “usul” of Fiqh, to produce “new Fiqh” that goes beyond the prevailing contemporary Fiqh, on the case of the effect of DNA test on paternity, which was often based on the Fiqhi extraction (takhrij) of old branches of Fiqh. These traditional perspectives were abandoned as the author judged them to belong to a historical phase where jurists aligned their Fiqh with the knowledge capabilities of their time.
The author was able to re-examine the issue, thus reestablishing it on its ""usuli” principles as well as exploring untrodden routes.
", Religon ,,978-9927-139-12-3,978-9927-139-24-6,
Qatar on the Arabian Gulf,Mohamed Hareb Farzat,"This book discusses the history of Qatar and reveals the cultural value of its geographical history and civilizational relations. It also outlines Qatar’s relation with its neighboring regions, such as Mesopotamia and the Levant, while highlighting the correlation between these civilizations. The book also provides an insight about the natural and wild life in the State of Qatar, as well as the archaeological excavations that happened in the country during various historical eras, starting from the Stone Age to the Bronze Age. It also gives insightful information about Qatar’s ancient history, due to its geographical location as a link between civilizations of the ancient Gulf and as a maritime hub of copper and silk trade between the Gulf countries and India.
The research approach applied in the book required the investigation of names given to many – or all – regions in Qatar throughout history, based on historical and linguistic evidences. The purpose is to create a new understanding of Qatar’s history, from its special location at the heart of the Arabian Gulf to its cultural, civilizational, historical and Arab Islamic surroundings. Many criteria have been taken into consideration: Qatar’s authentic mother tongue (Arabic), high values, and idiosyncratic identity in this contemporary world. 
Furthermore, this book provides a review about the Arabian Peninsula within the history of the Ancient East. This requires thinking of and recreating a comprehensive vision through the publication of significant scientific studies and the outcomes of archaeological excavations in the Arabian Peninsula. This is in addition to a detailed presentation of Qatar’s important strategic location, due to its recent renaissance and natural resources, such as oil and gas, making this country the blend of a civilizational legacy and a thriving present.
", History ,,978-9927-139-154,978-9927-139-25-3,
The Peaceful Settlement of International Disputes,Ibrahim Mohamed Al-Enani,"This book adopts a jurisprudential and practical analysis of the rules and procedures for the peaceful settlement of international disputes, including traditional international disputes, disputes related to issues of special nature and topics imposed by the current developments in international relations at the technical and economic levels. The author discusses the jurisprudential positions and practical applications regarding the problems faced by the parties to disputes whether they are international legal persons, or private legal persons at the international level, when seeking any means of settlement. The author has given particular attention to the rules and procedures of arbitration at the international level, as well as the International Court of Justice, where he has demonstrated the practical problems facing the litigation before them, activating their role in resolving disputes, and how to address them legally and practically. The author also outlines provisions for the resolution of international disputes of special nature, such as intellectual property disputes, investment disputes, trade disputes and sea uses disputes, and clarified the rules of their procedures for the practical benefit of those involved, practitioners and academicians at the theoretical and practical levels.", Politics  ,,978-9927-139-16-1,978-9927-139-26-0,
The Eloquence of Quranic Miracles and the Limits of Interpretation,Jamila Beckouche,"This book deals with the topic of ""Quranic miracles"", in an attempt to reveal the difference between scholars about ""the concept and location of miracles"". And if some fair studies have recognized the existence of miracles, and its manifestation in many ways, supporting the views of traditionists, and taking into consideration the sacred and inexhaustible interpretative aspect of the Holy Qur’an, and an attempt to explore the technical aspects and aesthetic characteristics that highlight the uniqueness of its miraculous structural system. On the contrary, other studies have called for a re-reading of the Qur’anic text, based on two aspects: the first aspect is criticizing the interpretative heritage of understanding the Holy Qur’an, and breaking the link with it, because it became unable to cover the textual purposes. While the second aspect relates to the use of scientific methods and contemporary procedural tools in reading the Qur’anic text, therefore it called for cognitive mechanisms based on interpretation and deconstruction, replacing the traditional mechanisms.

Contemporary studies did not stop at the doctrinal, cosmic, grammatical and rhetorical aspects covered by the traditional studies, but rather adopted a renewed methodology for reading the Qur’anic text, in a step to create a cognitive break with tradition, and keeping abreast of the current times. These contemporary interpreters have attempted to crystallize a new concept of Quranic miracle according to the dialectics of language and culture prevalent during and after the era of the revelation, and its relationship to other texts in this culture, based on ""variation"", or ""linguistic excellence"" in terms of a stylistic manifestation. Therefore, in contemporary Islamic studies, people talk about the ""limits of interpretation"" and call for its openness.", Religon ,,978-9927-139-13-0,978-9927-139-27-7,
